n_poi,n_run,n_epoch,accuracy,precision,recall,f1
5,0,0,1.0,1.0,1.0,1.0
5,0,1,1.0,1.0,1.0,1.0
5,0,2,0.63,0.11904761904761904,1.0,0.21276595744680848
5,0,3,0.7,0.14285714285714285,1.0,0.25
5,0,4,0.57,0.10416666666666667,1.0,0.18867924528301885
5,0,5,0.49,0.08928571428571429,1.0,0.1639344262295082
5,0,6,0.51,0.09259259259259259,1.0,0.1694915254237288
5,0,7,0.51,0.09259259259259259,1.0,0.1694915254237288
5,0,8,0.46,0.0847457627118644,1.0,0.15625
5,0,9,0.46,0.0847457627118644,1.0,0.15625
5,0,10,0.55,0.1,1.0,0.18181818181818182
5,0,11,0.63,0.11904761904761904,1.0,0.21276595744680848
5,0,12,0.59,0.10869565217391304,1.0,0.19607843137254902
5,0,13,0.49,0.08928571428571429,1.0,0.1639344262295082
5,0,14,0.5,0.09090909090909091,1.0,0.16666666666666669
5,0,15,0.56,0.10204081632653061,1.0,0.1851851851851852
5,0,16,0.54,0.09803921568627451,1.0,0.17857142857142855
5,0,17,0.64,0.12195121951219512,1.0,0.21739130434782605
5,0,18,0.56,0.10204081632653061,1.0,0.1851851851851852
5,0,19,0.63,0.11904761904761904,1.0,0.21276595744680848
5,0,20,0.61,0.11363636363636363,1.0,0.20408163265306123
5,0,21,0.64,0.12195121951219512,1.0,0.21739130434782605
5,0,22,0.6,0.1111111111111111,1.0,0.19999999999999998
5,0,23,0.61,0.11363636363636363,1.0,0.20408163265306123
5,0,24,0.67,0.13157894736842105,1.0,0.23255813953488372
5,1,0,1.0,1.0,1.0,1.0
5,1,1,1.0,1.0,1.0,1.0
5,1,2,0.6,0.1111111111111111,1.0,0.19999999999999998
5,1,3,0.62,0.11627906976744186,1.0,0.20833333333333334
5,1,4,0.52,0.09433962264150944,1.0,0.1724137931034483
5,1,5,0.58,0.10638297872340426,1.0,0.1923076923076923
5,1,6,0.49,0.08928571428571429,1.0,0.1639344262295082
5,1,7,0.52,0.09433962264150944,1.0,0.1724137931034483
5,1,8,0.49,0.08928571428571429,1.0,0.1639344262295082
5,1,9,0.52,0.09433962264150944,1.0,0.1724137931034483
5,1,10,0.51,0.09259259259259259,1.0,0.1694915254237288
5,1,11,0.56,0.10204081632653061,1.0,0.1851851851851852
5,1,12,0.61,0.11363636363636363,1.0,0.20408163265306123
5,1,13,0.58,0.10638297872340426,1.0,0.1923076923076923
5,1,14,0.54,0.09803921568627451,1.0,0.17857142857142855
5,1,15,0.56,0.10204081632653061,1.0,0.1851851851851852
5,1,16,0.58,0.10638297872340426,1.0,0.1923076923076923
5,1,17,0.6,0.1111111111111111,1.0,0.19999999999999998
5,1,18,0.64,0.12195121951219512,1.0,0.21739130434782605
5,1,19,0.6,0.1111111111111111,1.0,0.19999999999999998
5,1,20,0.59,0.10869565217391304,1.0,0.19607843137254902
5,1,21,0.69,0.1388888888888889,1.0,0.24390243902439027
5,1,22,0.57,0.10416666666666667,1.0,0.18867924528301885
5,1,23,0.68,0.13513513513513514,1.0,0.2380952380952381
5,1,24,0.6,0.1111111111111111,1.0,0.19999999999999998
5,2,0,1.0,1.0,1.0,1.0
5,2,1,1.0,1.0,1.0,1.0
5,2,2,0.53,0.09615384615384616,1.0,0.17543859649122806
5,2,3,0.66,0.1282051282051282,1.0,0.22727272727272727
5,2,4,0.61,0.11363636363636363,1.0,0.20408163265306123
5,2,5,0.44,0.08196721311475409,1.0,0.1515151515151515
5,2,6,0.49,0.08928571428571429,1.0,0.1639344262295082
5,2,7,0.51,0.09259259259259259,1.0,0.1694915254237288
5,2,8,0.48,0.08771929824561403,1.0,0.16129032258064516
5,2,9,0.49,0.08928571428571429,1.0,0.1639344262295082
5,2,10,0.56,0.10204081632653061,1.0,0.1851851851851852
5,2,11,0.56,0.10204081632653061,1.0,0.1851851851851852
5,2,12,0.6,0.1111111111111111,1.0,0.19999999999999998
5,2,13,0.6,0.1111111111111111,1.0,0.19999999999999998
5,2,14,0.5,0.09090909090909091,1.0,0.16666666666666669
5,2,15,0.58,0.10638297872340426,1.0,0.1923076923076923
5,2,16,0.59,0.10869565217391304,1.0,0.19607843137254902
5,2,17,0.68,0.13513513513513514,1.0,0.2380952380952381
5,2,18,0.65,0.125,1.0,0.2222222222222222
5,2,19,0.67,0.13157894736842105,1.0,0.23255813953488372
5,2,20,0.57,0.10416666666666667,1.0,0.18867924528301885
5,2,21,0.7,0.14285714285714285,1.0,0.25
5,2,22,0.67,0.13157894736842105,1.0,0.23255813953488372
5,2,23,0.66,0.1282051282051282,1.0,0.22727272727272727
